bin,term,length,found,total_paths,sample_path
core_chemistry_terms,salts,5,yes,1,B12 -> B11 -> B10 -> A10 -> A11
core_chemistry_terms,salt,4,yes,4,A11 -> B11 -> B10 -> C9
core_chemistry_terms,gas,3,yes,1,L2 -> L1 -> K1
core_chemistry_terms,ion,3,yes,6,F1 -> F2 -> G1
core_chemistry_terms,compounds,9,no,0,
core_chemistry_terms,electrons,9,no,0,
core_chemistry_terms,molecules,9,no,0,
core_chemistry_terms,reactions,9,no,0,
core_chemistry_terms,compound,8,no,0,
core_chemistry_terms,electron,8,no,0,
core_chemistry_terms,elements,8,no,0,
core_chemistry_terms,isotopes,8,no,0,
core_chemistry_terms,molecule,8,no,0,
core_chemistry_terms,periodic,8,no,0,
core_chemistry_terms,reaction,8,no,0,
core_chemistry_terms,element,7,no,0,
core_chemistry_terms,isotope,7,no,0,
core_chemistry_terms,protons,7,no,0,
core_chemistry_terms,valence,7,no,0,
core_chemistry_terms,metals,6,no,0,
core_chemistry_terms,orbits,6,no,0,
core_chemistry_terms,proton,6,no,0,
core_chemistry_terms,atoms,5,no,0,
core_chemistry_terms,bonds,5,no,0,
core_chemistry_terms,gases,5,no,0,
core_chemistry_terms,metal,5,no,0,
core_chemistry_terms,noble,5,no,0,
core_chemistry_terms,orbit,5,no,0,
core_chemistry_terms,react,5,no,0,
core_chemistry_terms,table,5,no,0,
core_chemistry_terms,atom,4,no,0,
core_chemistry_terms,bond,4,no,0,
core_chemistry_terms,ions,4,no,0,
element_ium_stems,einstein,8,yes,2,B13 -> A13 -> A12 -> B12 -> C13 -> D14 -> D13 -> C14
element_ium_stems,titan,5,yes,2,C9 -> B9 -> A10 -> B11 -> A12
element_ium_stems,holm,4,yes,1,B6 -> A6 -> B7 -> C8
element_ium_stems,thul,4,yes,1,B5 -> B6 -> C6 -> B7
element_ium_stems,rutherford,10,no,0,
element_ium_stems,darmstadt,9,no,0,
element_ium_stems,praseodym,9,no,0,
element_ium_stems,protactin,9,no,0,
element_ium_stems,californ,8,no,0,
element_ium_stems,copernic,8,no,0,
element_ium_stems,livermor,8,no,0,
element_ium_stems,mendelev,8,no,0,
element_ium_stems,roentgen,8,no,0,
element_ium_stems,dyspros,7,no,0,
element_ium_stems,gadolin,7,no,0,
element_ium_stems,lawrenc,7,no,0,
element_ium_stems,meitner,7,no,0,
element_ium_stems,prometh,7,no,0,
element_ium_stems,seaborg,7,no,0,
element_ium_stems,technet,7,no,0,
element_ium_stems,americ,6,no,0,
element_ium_stems,berkel,6,no,0,
element_ium_stems,beryll,6,no,0,
element_ium_stems,flerov,6,no,0,
element_ium_stems,german,6,no,0,
element_ium_stems,magnes,6,no,0,
element_ium_stems,moscov,6,no,0,
element_ium_stems,neodym,6,no,0,
element_ium_stems,neptun,6,no,0,
element_ium_stems,pallad,6,no,0,
element_ium_stems,pluton,6,no,0,
element_ium_stems,potass,6,no,0,
element_ium_stems,ruthen,6,no,0,
element_ium_stems,stront,6,no,0,
element_ium_stems,tellur,6,no,0,
element_ium_stems,ytterb,6,no,0,
element_ium_stems,zircon,6,no,0,
element_ium_stems,actin,5,no,0,
element_ium_stems,chrom,5,no,0,
element_ium_stems,europ,5,no,0,
element_ium_stems,franc,5,no,0,
element_ium_stems,lutet,5,no,0,
element_ium_stems,nihon,5,no,0,
element_ium_stems,nobel,5,no,0,
element_ium_stems,polon,5,no,0,
element_ium_stems,rubid,5,no,0,
element_ium_stems,samar,5,no,0,
element_ium_stems,scand,5,no,0,
element_ium_stems,selen,5,no,0,
element_ium_stems,thall,5,no,0,
element_ium_stems,vanad,5,no,0,
element_ium_stems,bohr,4,no,0,
element_ium_stems,cadm,4,no,0,
element_ium_stems,calc,4,no,0,
element_ium_stems,dubn,4,no,0,
element_ium_stems,ferm,4,no,0,
element_ium_stems,gall,4,no,0,
element_ium_stems,hafn,4,no,0,
element_ium_stems,hass,4,no,0,
element_ium_stems,irid,4,no,0,
element_ium_stems,lith,4,no,0,
element_ium_stems,niob,4,no,0,
element_ium_stems,rhen,4,no,0,
element_ium_stems,rhod,4,no,0,
element_ium_stems,terb,4,no,0,
element_ium_stems,thor,4,no,0,
element_ium_stems,uran,4,no,0,
element_ium_stems,yttr,4,no,0,
element_variants,aluminium,9,no,0,
element_variants,caesium,7,no,0,
element_variants,sulphur,7,no,0,
periodic_elements,aluminum,8,yes,6,H2 -> G3 -> F4 -> E5 -> D6 -> C7 -> B8 -> C8
periodic_elements,holmium,7,yes,2,B6 -> A6 -> B7 -> C8 -> B9 -> A8 -> A9
periodic_elements,argon,5,yes,2,L1 -> M1 -> L2 -> K3 -> L4
periodic_elements,iron,4,yes,1,D13 -> E13 -> D12 -> E11
periodic_elements,neon,4,yes,1,L5 -> K4 -> K3 -> L4
periodic_elements,tin,3,yes,10,H10 -> G11 -> H12
periodic_elements,rutherfordium,13,no,0,
periodic_elements,darmstadtium,12,no,0,
periodic_elements,praseodymium,12,no,0,
periodic_elements,protactinium,12,no,0,
periodic_elements,californium,11,no,0,
periodic_elements,copernicium,11,no,0,
periodic_elements,einsteinium,11,no,0,
periodic_elements,livermorium,11,no,0,
periodic_elements,mendelevium,11,no,0,
periodic_elements,roentgenium,11,no,0,
periodic_elements,dysprosium,10,no,0,
periodic_elements,gadolinium,10,no,0,
periodic_elements,lawrencium,10,no,0,
periodic_elements,meitnerium,10,no,0,
periodic_elements,molybdenum,10,no,0,
periodic_elements,phosphorus,10,no,0,
periodic_elements,promethium,10,no,0,
periodic_elements,seaborgium,10,no,0,
periodic_elements,technetium,10,no,0,
periodic_elements,tennessine,10,no,0,
periodic_elements,americium,9,no,0,
periodic_elements,berkelium,9,no,0,
periodic_elements,beryllium,9,no,0,
periodic_elements,flerovium,9,no,0,
periodic_elements,germanium,9,no,0,
periodic_elements,lanthanum,9,no,0,
periodic_elements,magnesium,9,no,0,
periodic_elements,manganese,9,no,0,
periodic_elements,moscovium,9,no,0,
periodic_elements,neodymium,9,no,0,
periodic_elements,neptunium,9,no,0,
periodic_elements,oganesson,9,no,0,
periodic_elements,palladium,9,no,0,
periodic_elements,plutonium,9,no,0,
periodic_elements,potassium,9,no,0,
periodic_elements,ruthenium,9,no,0,
periodic_elements,strontium,9,no,0,
periodic_elements,tellurium,9,no,0,
periodic_elements,ytterbium,9,no,0,
periodic_elements,zirconium,9,no,0,
periodic_elements,actinium,8,no,0,
periodic_elements,antimony,8,no,0,
periodic_elements,astatine,8,no,0,
periodic_elements,chlorine,8,no,0,
periodic_elements,chromium,8,no,0,
periodic_elements,europium,8,no,0,
periodic_elements,fluorine,8,no,0,
periodic_elements,francium,8,no,0,
periodic_elements,hydrogen,8,no,0,
periodic_elements,lutetium,8,no,0,
periodic_elements,nihonium,8,no,0,
periodic_elements,nitrogen,8,no,0,
periodic_elements,nobelium,8,no,0,
periodic_elements,platinum,8,no,0,
periodic_elements,polonium,8,no,0,
periodic_elements,rubidium,8,no,0,
periodic_elements,samarium,8,no,0,
periodic_elements,scandium,8,no,0,
periodic_elements,selenium,8,no,0,
periodic_elements,tantalum,8,no,0,
periodic_elements,thallium,8,no,0,
periodic_elements,titanium,8,no,0,
periodic_elements,tungsten,8,no,0,
periodic_elements,vanadium,8,no,0,
periodic_elements,arsenic,7,no,0,
periodic_elements,bismuth,7,no,0,
periodic_elements,bohrium,7,no,0,
periodic_elements,bromine,7,no,0,
periodic_elements,cadmium,7,no,0,
periodic_elements,calcium,7,no,0,
periodic_elements,dubnium,7,no,0,
periodic_elements,fermium,7,no,0,
periodic_elements,gallium,7,no,0,
periodic_elements,hafnium,7,no,0,
periodic_elements,hassium,7,no,0,
periodic_elements,iridium,7,no,0,
periodic_elements,krypton,7,no,0,
periodic_elements,lithium,7,no,0,
periodic_elements,mercury,7,no,0,
periodic_elements,niobium,7,no,0,
periodic_elements,rhenium,7,no,0,
periodic_elements,rhodium,7,no,0,
periodic_elements,silicon,7,no,0,
periodic_elements,terbium,7,no,0,
periodic_elements,thorium,7,no,0,
periodic_elements,thulium,7,no,0,
periodic_elements,uranium,7,no,0,
periodic_elements,yttrium,7,no,0,
periodic_elements,barium,6,no,0,
periodic_elements,carbon,6,no,0,
periodic_elements,cerium,6,no,0,
periodic_elements,cesium,6,no,0,
periodic_elements,cobalt,6,no,0,
periodic_elements,copper,6,no,0,
periodic_elements,curium,6,no,0,
periodic_elements,erbium,6,no,0,
periodic_elements,helium,6,no,0,
periodic_elements,indium,6,no,0,
periodic_elements,iodine,6,no,0,
periodic_elements,nickel,6,no,0,
periodic_elements,osmium,6,no,0,
periodic_elements,oxygen,6,no,0,
periodic_elements,radium,6,no,0,
periodic_elements,silver,6,no,0,
periodic_elements,sodium,6,no,0,
periodic_elements,sulfur,6,no,0,
periodic_elements,boron,5,no,0,
periodic_elements,radon,5,no,0,
periodic_elements,xenon,5,no,0,
periodic_elements,gold,4,no,0,
periodic_elements,lead,4,no,0,
periodic_elements,zinc,4,no,0,
